HE (EST),kWH
2017-05-04 09:15:00,2410.2
2017-05-04 09:30:00,2425.2
2017-05-04 09:45:00,2463.6
2017-05-04 10:00:00,2476.08
2017-05-04 10:15:00,2499.12
2017-05-04 10:30:00,2488.32
2017-05-04 10:45:00,2503.2
2017-05-04 11:00:00,2479.68
2017-05-04 11:15:00,2471.52
2017-05-04 11:30:00,2466.84
2017-05-04 11:45:00,2466.96
2017-05-04 12:00:00,2478.72
2017-05-04 12:15:00,2473.8
2017-05-04 12:30:00,2468.04
2017-05-04 12:45:00,2476.32
2017-05-04 13:00:00,2484.24
2017-05-04 13:15:00,2466.48
2017-05-04 13:30:00,2481.6
2017-05-04 13:45:00,2496.12
2017-05-04 14:00:00,2500.32
2017-05-04 14:15:00,2497.2
2017-05-04 14:30:00,2498.28
2017-05-04 14:45:00,2519.04
2017-05-04 15:00:00,2513.88
2017-05-04 15:15:00,2521.44
2017-05-04 15:30:00,2522.4
2017-05-04 15:45:00,2499.0
2017-05-04 16:00:00,2499.36
2017-05-04 16:15:00,2503.08
2017-05-04 16:30:00,2495.64
2017-05-04 16:45:00,2496.96
2017-05-04 17:00:00,2495.88
2017-05-04 17:15:00,2495.64
2017-05-04 17:30:00,2502.96
2017-05-04 17:45:00,2495.64
2017-05-04 18:00:00,2507.28
2017-05-04 18:15:00,2496.84
2017-05-04 18:30:00,2494.44
2017-05-04 18:45:00,2510.88
2017-05-04 19:00:00,2511.24
2017-05-04 19:15:00,2516.16
2017-05-04 19:30:00,2514.48
2017-05-04 19:45:00,2484.48
2017-05-04 20:00:00,2438.28
2017-05-04 20:15:00,2438.88
2017-05-04 20:30:00,2429.04
2017-05-04 20:45:00,2434.44
2017-05-04 21:00:00,2440.08
2017-05-04 21:15:00,2427.36
2017-05-04 21:30:00,2385.84
2017-05-04 21:45:00,2266.32
2017-05-04 22:00:00,2225.64
2017-05-04 22:15:00,2190.72
2017-05-04 22:30:00,2182.44
2017-05-04 22:45:00,2175.72
2017-05-04 23:00:00,2181.72
2017-05-04 23:15:00,2184.96
2017-05-04 23:30:00,2173.44
2017-05-04 23:45:00,2188.56
2017-05-05 00:00:00,2195.4
2017-05-05 00:15:00,2205.72
2017-05-05 00:30:00,2243.4
2017-05-05 00:45:00,2284.44
2017-05-05 01:00:00,2263.68
2017-05-05 01:15:00,2217.6
2017-05-05 01:30:00,2213.04
2017-05-05 01:45:00,2226.36
2017-05-05 02:00:00,2251.68
2017-05-05 02:15:00,2281.32
2017-05-05 02:30:00,2276.64
2017-05-05 02:45:00,2260.8
2017-05-05 03:00:00,2248.08
2017-05-05 03:15:00,2191.8
2017-05-05 03:30:00,2128.8
2017-05-05 03:45:00,2115.72
2017-05-05 04:00:00,2093.88
2017-05-05 04:15:00,2110.44
2017-05-05 04:30:00,2099.64
2017-05-05 04:45:00,2092.32
2017-05-05 05:00:00,2073.36
2017-05-05 05:15:00,2085.0
2017-05-05 05:30:00,2071.92
2017-05-05 05:45:00,2072.04
2017-05-05 06:00:00,2087.64
2017-05-05 06:15:00,2078.88
2017-05-05 06:30:00,2093.04
2017-05-05 06:45:00,2118.6
2017-05-05 07:00:00,2097.6
2017-05-05 07:15:00,2104.56
2017-05-05 07:30:00,2108.64
2017-05-05 07:45:00,2105.52
2017-05-05 08:00:00,2092.44
2017-05-05 08:15:00,2091.0
2017-05-05 08:30:00,2083.08
2017-05-05 08:45:00,2108.64
2017-05-05 09:00:00,2127.72
2017-05-05 09:15:00,2134.56
2017-05-05 09:30:00,2158.08
2017-05-05 09:45:00,2169.72
2017-05-05 10:00:00,2150.16
2017-05-05 10:15:00,2153.88
2017-05-05 10:30:00,2145.24
2017-05-05 10:45:00,2139.0
2017-05-05 11:00:00,2148.48
2017-05-05 11:15:00,2139.96
2017-05-05 11:30:00,2145.6
2017-05-05 11:45:00,2157.36
2017-05-05 12:00:00,2159.88
2017-05-05 12:15:00,2157.84
2017-05-05 12:30:00,2158.44
2017-05-05 12:45:00,2179.44
2017-05-05 13:00:00,2180.64
2017-05-05 13:15:00,2171.4
2017-05-05 13:30:00,2174.88
2017-05-05 13:45:00,2178.24
2017-05-05 14:00:00,2182.2
2017-05-05 14:15:00,2181.96
2017-05-05 14:30:00,2192.88
2017-05-05 14:45:00,2207.16
2017-05-05 15:00:00,2219.76
